smiles,0,1
C1CN2CC2C(N2CC2)C2OC12,1024,"{10: 1, 12: 1, 14: 1, 50: 1, 69: 1, 83: 1, 106: 1, 124: 1, 129: 1, 157: 1, 170: 1, 225: 1, 226: 1, 235: 1, 253: 1, 261: 1, 277: 1, 282: 1, 289: 1, 296: 1, 313: 1, 314: 1, 317: 1, 325: 1, 326: 1, 349: 1, 350: 1, 358: 1, 385: 1, 394: 1, 416: 1, 430: 1, 439: 1, 440: 1, 502: 1, 509: 1, 516: 1, 525: 1, 532: 1, 548: 1, 557: 1, 590: 1, 596: 1, 601: 1, 610: 1, 656: 1, 657: 1, 671: 1, 694: 1, 710: 1, 712: 1, 713: 1, 798: 1, 872: 1, 884: 1, 885: 1, 905: 1, 907: 1, 913: 1, 923: 1, 928: 1, 937: 1, 949: 1, 971: 1, 985: 1, 999: 1}"
CC1C2OC3C(CC13N)C(O)C2N,1024,"{50: 1, 83: 1, 106: 1, 141: 1, 170: 1, 235: 1, 253: 1, 254: 1, 261: 1, 313: 1, 314: 1, 325: 1, 326: 1, 349: 1, 358: 1, 385: 1, 430: 1, 439: 1, 440: 1, 441: 1, 502: 1, 504: 1, 516: 1, 525: 1, 532: 1, 557: 1, 564: 1, 581: 1, 596: 1, 600: 1, 601: 1, 602: 1, 656: 1, 657: 1, 658: 1, 671: 1, 691: 1, 712: 1, 729: 1, 871: 1, 884: 1, 885: 1, 896: 1, 905: 1, 907: 1, 913: 1, 928: 1, 985: 1, 999: 1}"
C#CC#CCNC(C)=C(C)C(=O)O,1024,"{10: 1, 59: 1, 83: 1, 137: 1, 147: 1, 183: 1, 237: 1, 238: 1, 251: 1, 260: 1, 261: 1, 305: 1, 308: 1, 313: 1, 330: 1, 332: 1, 406: 1, 413: 1, 421: 1, 433: 1, 434: 1, 516: 1, 532: 1, 565: 1, 610: 1, 624: 1, 636: 1, 653: 1, 671: 1, 694: 1, 747: 1, 761: 1, 774: 1, 779: 1, 789: 1, 806: 1, 857: 1, 878: 1, 887: 1, 899: 1, 907: 1, 946: 1, 973: 1, 1002: 1, 1015: 1}"
C1CC(N2C3CCC4OC4C32)=NO1,1024,"{10: 1, 12: 1, 14: 1, 52: 1, 64: 1, 67: 1, 83: 1, 101: 1, 106: 1, 112: 1, 129: 1, 155: 1, 157: 1, 170: 1, 191: 1, 195: 1, 225: 1, 226: 1, 235: 1, 253: 1, 261: 1, 277: 1, 296: 1, 313: 1, 314: 1, 317: 1, 325: 1, 334: 1, 336: 1, 349: 1, 358: 1, 385: 1, 394: 1, 395: 1, 416: 1, 430: 1, 432: 1, 439: 1, 440: 1, 442: 1, 502: 1, 504: 1, 509: 1, 516: 1, 517: 1, 522: 1, 525: 1, 532: 1, 533: 1, 548: 1, 557: 1, 564: 1, 596: 1, 600: 1, 601: 1, 610: 1, 618: 1, 620: 1, 621: 1, 640: 1, 656: 1, 657: 1, 671: 1, 689: 1, 691: 1, 694: 1, 705: 1, 706: 1, 708: 1, 712: 1, 743: 1, 746: 1, 752: 1, 757: 1, 758: 1, 798: 1, 872: 1, 884: 1, 885: 1, 890: 1, 905: 1, 907: 1, 913: 1, 916: 1, 918: 1, 928: 1, 930: 1, 937: 1, 949: 1, 985: 1, 999: 1}"
CC12OC3C4CC1(NC=N)C4NC32,1024,"{10: 1, 12: 1, 14: 1, 50: 1, 64: 1, 65: 1, 69: 1, 83: 1, 101: 1, 106: 1, 124: 1, 129: 1, 157: 1, 170: 1, 191: 1, 225: 1, 235: 1, 253: 1, 254: 1, 261: 1, 277: 1, 282: 1, 289: 1, 296: 1, 313: 1, 314: 1, 317: 1, 325: 1, 326: 1, 349: 1, 350: 1, 358: 1, 385: 1, 394: 1, 416: 1, 430: 1, 439: 1, 440: 1, 442: 1, 497: 1, 502: 1, 504: 1, 509: 1, 516: 1, 525: 1, 532: 1, 533: 1, 548: 1, 557: 1, 564: 1, 565: 1, 581: 1, 590: 1, 596: 1, 600: 1, 601: 1, 610: 1, 618: 1, 655: 1, 656: 1, 657: 1, 658: 1, 671: 1, 694: 1, 706: 1, 710: 1, 712: 1, 713: 1, 746: 1, 747: 1, 758: 1, 798: 1, 837: 1, 872: 1, 884: 1, 885: 1, 896: 1, 905: 1, 907: 1, 913: 1, 923: 1, 928: 1, 930: 1, 937: 1, 949: 1, 971: 1, 985: 1, 999: 1}"
CCNC1C2CC(O)C(O)CNC21,1024,"{10: 1, 12: 1, 14: 1, 50: 1, 69: 1, 83: 1, 124: 1, 157: 1, 225: 1, 261: 1, 277: 1, 282: 1, 289: 1, 296: 1, 313: 1, 314: 1, 315: 1, 325: 1, 349: 1, 350: 1, 385: 1, 394: 1, 416: 1, 430: 1, 439: 1, 440: 1, 509: 1, 516: 1, 532: 1, 564: 1, 565: 1, 590: 1, 600: 1, 601: 1, 610: 1, 657: 1, 671: 1, 694: 1, 710: 1, 712: 1, 713: 1, 798: 1, 872: 1, 884: 1, 885: 1, 907: 1, 923: 1, 949: 1, 971: 1, 985: 1}"
CNC1C2CC3(O)CC2C2C(C3)C12,1024,"{10: 1, 12: 1, 50: 1, 83: 1, 89: 1, 141: 1, 157: 1, 261: 1, 277: 1, 313: 1, 325: 1, 349: 1, 385: 1, 430: 1, 439: 1, 442: 1, 516: 1, 532: 1, 600: 1, 601: 1, 657: 1, 671: 1, 694: 1, 712: 1, 884: 1, 885: 1, 907: 1, 949: 1, 985: 1}"
CCC(c1n[nH]n(C)c1=N)C(C)O,1024,"{27: 1, 61: 1, 79: 1, 82: 1, 83: 1, 99: 1, 116: 1, 142: 1, 153: 1, 185: 1, 191: 1, 208: 1, 226: 1, 246: 1, 251: 1, 259: 1, 261: 1, 301: 1, 313: 1, 314: 1, 349: 1, 370: 1, 385: 1, 403: 1, 439: 1, 468: 1, 474: 1, 475: 1, 480: 1, 509: 1, 515: 1, 516: 1, 526: 1, 530: 1, 531: 1, 532: 1, 540: 1, 545: 1, 561: 1, 564: 1, 570: 1, 590: 1, 611: 1, 616: 1, 618: 1, 622: 1, 635: 1, 647: 1, 652: 1, 671: 1, 688: 1, 724: 1, 725: 1, 733: 1, 748: 1, 778: 1, 814: 1, 863: 1, 871: 1, 872: 1, 901: 1, 902: 1, 907: 1, 920: 1, 929: 1, 942: 1, 950: 1, 958: 1, 959: 1, 964: 1, 965: 1, 985: 1, 986: 1, 991: 1, 997: 1, 1010: 1}"
CC=CC1=CC(O)c2onnc21,1024,"{7: 1, 59: 1, 64: 1, 75: 1, 82: 1, 99: 1, 104: 1, 106: 1, 151: 1, 156: 1, 161: 1, 177: 1, 183: 1, 185: 1, 186: 1, 202: 1, 234: 1, 237: 1, 241: 1, 260: 1, 261: 1, 264: 1, 273: 1, 277: 1, 288: 1, 303: 1, 304: 1, 310: 1, 311: 1, 312: 1, 334: 1, 343: 1, 348: 1, 367: 1, 369: 1, 373: 1, 376: 1, 379: 1, 400: 1, 401: 1, 419: 1, 421: 1, 424: 1, 425: 1, 445: 1, 469: 1, 471: 1, 474: 1, 476: 1, 482: 1, 515: 1, 516: 1, 526: 1, 531: 1, 532: 1, 541: 1, 546: 1, 582: 1, 583: 1, 590: 1, 594: 1, 598: 1, 599: 1, 635: 1, 636: 1, 649: 1, 652: 1, 654: 1, 656: 1, 663: 1, 671: 1, 673: 1, 688: 1, 697: 1, 713: 1, 724: 1, 725: 1, 728: 1, 742: 1, 745: 1, 755: 1, 764: 1, 768: 1, 769: 1, 775: 1, 778: 1, 779: 1, 796: 1, 803: 1, 814: 1, 821: 1, 832: 1, 833: 1, 845: 1, 854: 1, 856: 1, 865: 1, 886: 1, 888: 1, 895: 1, 898: 1, 901: 1, 914: 1, 929: 1, 930: 1, 945: 1, 946: 1, 948: 1, 949: 1, 953: 1, 955: 1, 958: 1, 964: 1, 971: 1, 973: 1, 979: 1, 986: 1, 991: 1}"
CCC12CN1C(=N)CCC2(C)C#N,1024,"{8: 1, 10: 1, 14: 1, 50: 1, 64: 1, 83: 1, 84: 1, 101: 1, 157: 1, 191: 1, 226: 1, 261: 1, 277: 1, 299: 1, 319: 1, 325: 1, 337: 1, 338: 1, 349: 1, 350: 1, 385: 1, 394: 1, 416: 1, 430: 1, 458: 1, 503: 1, 533: 1, 610: 1, 657: 1, 669: 1, 671: 1, 689: 1, 694: 1, 705: 1, 706: 1, 712: 1, 746: 1, 782: 1, 798: 1, 907: 1, 908: 1, 949: 1, 985: 1, 995: 1}"
